car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Maruti Alto,Maruti,Alto,9.0,53800.0,Dealer,CNG,Manual,26.83,796.0,38.4,5.0,235000.0
Maruti Alto,Maruti,Alto,11.0,11000.0,Dealer,CNG,Manual,26.83,796.0,38.4,5.0,185000.0
Maruti Alto,Maruti,Alto,11.0,80000.0,Dealer,CNG,Manual,26.83,796.0,38.4,5.0,150000.0
Maruti Alto,Maruti,Alto,10.0,57000.0,Dealer,CNG,Manual,26.83,796.0,38.4,5.0,172000.0
Maruti Alto,Maruti,Alto,11.0,72000.0,Individual,CNG,Manual,26.83,796.0,38.4,5.0,125000.0
Maruti Alto,Maruti,Alto,5.0,42000.0,Dealer,CNG,Manual,33.44,796.0,40.3,4.0,260000.0
Maruti Alto,Maruti,Alto,7.0,28000.0,Dealer,CNG,Manual,33.44,796.0,40.3,4.0,281000.0
Maruti Alto,Maruti,Alto,3.0,29000.0,Dealer,CNG,Manual,33.44,796.0,40.3,4.0,345000.0
Maruti Alto,Maruti,Alto,8.0,68000.0,Dealer,CNG,Manual,33.44,796.0,40.3,4.0,150000.0
Maruti Alto,Maruti,Alto,4.0,20700.0,Dealer,CNG,Manual,33.44,796.0,40.3,4.0,381000.0
Maruti Alto,Maruti,Alto,4.0,61000.0,Dealer,CNG,Manual,33.44,796.0,40.3,4.0,340000.0
Maruti Alto,Maruti,Alto,4.0,45000.0,Dealer,CNG,Manual,33.44,796.0,40.3,4.0,290000.0
Maruti Alto,Maruti,Alto,5.0,77658.0,Dealer,CNG,Manual,33.44,796.0,40.3,4.0,325000.0
Maruti Alto,Maruti,Alto,3.0,59000.0,Dealer,CNG,Manual,33.44,796.0,40.3,4.0,300000.0
Maruti Alto,Maruti,Alto,3.0,30112.0,Dealer,CNG,Manual,33.44,796.0,40.3,4.0,360000.0
Maruti Alto,Maruti,Alto,4.0,26000.0,Dealer,CNG,Manual,33.44,796.0,40.3,4.0,300000.0
Maruti Alto,Maruti,Alto,3.0,58000.0,Dealer,CNG,Manual,33.44,796.0,40.3,4.0,350000.0
Maruti Alto,Maruti,Alto,4.0,28239.0,Trustmark Dealer,CNG,Manual,33.44,796.0,40.3,4.0,315000.0
Maruti Alto,Maruti,Alto,3.0,31243.0,Trustmark Dealer,CNG,Manual,33.44,796.0,40.3,4.0,299000.0
Maruti Alto,Maruti,Alto,9.0,28000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,180000.0
Maruti Alto,Maruti,Alto,9.0,41321.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,185000.0
Maruti Alto,Maruti,Alto,14.0,52235.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,110000.0
Maruti Alto,Maruti,Alto,7.0,75001.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,175000.0
Maruti Alto,Maruti,Alto,11.0,48156.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,135000.0
Maruti Alto,Maruti,Alto,9.0,43000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,230000.0
Maruti Alto,Maruti,Alto,13.0,80000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,135000.0
Maruti Alto,Maruti,Alto,12.0,46000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,150000.0
Maruti Alto,Maruti,Alto,12.0,25000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,155000.0
Maruti Alto,Maruti,Alto,10.0,69000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,140000.0
Maruti Alto,Maruti,Alto,13.0,30000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,175000.0
Maruti Alto,Maruti,Alto,10.0,72000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,185000.0
Maruti Alto,Maruti,Alto,11.0,67789.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,175000.0
Maruti Alto,Maruti,Alto,13.0,50000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,145000.0
Maruti Alto,Maruti,Alto,12.0,55274.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,145000.0
Maruti Alto,Maruti,Alto,12.0,67833.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,175000.0
Maruti Alto,Maruti,Alto,11.0,29000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,175000.0
Maruti Alto,Maruti,Alto,13.0,30008.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,175000.0
Maruti Alto,Maruti,Alto,11.0,53503.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,175000.0
Maruti Alto,Maruti,Alto,10.0,9000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,160000.0
Maruti Alto,Maruti,Alto,15.0,83000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,95000.0
Maruti Alto,Maruti,Alto,17.0,58000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,111000.0
Maruti Alto,Maruti,Alto,14.0,17000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,145000.0
Maruti Alto,Maruti,Alto,10.0,49100.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,155000.0
Maruti Alto,Maruti,Alto,11.0,51479.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,195000.0
Maruti Alto,Maruti,Alto,9.0,42000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,211000.0
Maruti Alto,Maruti,Alto,9.0,67000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,235000.0
Maruti Alto,Maruti,Alto,12.0,26097.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,175000.0
Maruti Alto,Maruti,Alto,14.0,86156.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,185000.0
Maruti Alto,Maruti,Alto,15.0,103000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,150000.0
Maruti Alto,Maruti,Alto,11.0,49650.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,210000.0
Maruti Alto,Maruti,Alto,9.0,79000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,200000.0
Maruti Alto,Maruti,Alto,14.0,60235.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,100000.0
Maruti Alto,Maruti,Alto,14.0,83000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,110000.0
Maruti Alto,Maruti,Alto,9.0,75000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,245000.0
Maruti Alto,Maruti,Alto,15.0,55000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,95000.0
Maruti Alto,Maruti,Alto,15.0,74650.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,140000.0
Maruti Alto,Maruti,Alto,17.0,85000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,135000.0
Maruti Alto,Maruti,Alto,11.0,27000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,220000.0
Maruti Alto,Maruti,Alto,11.0,98499.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,185000.0
Maruti Alto,Maruti,Alto,14.0,49251.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,175000.0
Maruti Alto,Maruti,Alto,14.0,76366.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,185000.0
Maruti Alto,Maruti,Alto,13.0,97000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,175000.0
Maruti Alto,Maruti,Alto,9.0,62000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,245000.0
Maruti Alto,Maruti,Alto,13.0,76000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,165000.0
Maruti Alto,Maruti,Alto,9.0,76154.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,275000.0
Maruti Alto,Maruti,Alto,10.0,29000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,180000.0
Maruti Alto,Maruti,Alto,11.0,41000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,160000.0
Maruti Alto,Maruti,Alto,10.0,40256.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,138000.0
Maruti Alto,Maruti,Alto,11.0,70000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,130000.0
Maruti Alto,Maruti,Alto,19.0,54000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,90000.0
Maruti Alto,Maruti,Alto,9.0,22215.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,170000.0
Maruti Alto,Maruti,Alto,9.0,61043.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,210000.0
Maruti Alto,Maruti,Alto,9.0,19455.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,185000.0
Maruti Alto,Maruti,Alto,11.0,48679.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,130000.0
Maruti Alto,Maruti,Alto,12.0,35000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,225000.0
Maruti Alto,Maruti,Alto,15.0,90000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,110000.0
Maruti Alto,Maruti,Alto,10.0,115000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,125000.0
Maruti Alto,Maruti,Alto,11.0,62000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,160000.0
Maruti Alto,Maruti,Alto,10.0,22500.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,120000.0
Maruti Alto,Maruti,Alto,14.0,40000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,80000.0
Maruti Alto,Maruti,Alto,13.0,75000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,125000.0
Maruti Alto,Maruti,Alto,14.0,35000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,100000.0
Maruti Alto,Maruti,Alto,13.0,92000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,115000.0
Maruti Alto,Maruti,Alto,12.0,73000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,135000.0
Maruti Alto,Maruti,Alto,15.0,121153.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,100000.0
Maruti Alto,Maruti,Alto,10.0,33111.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,205000.0
Maruti Alto,Maruti,Alto,12.0,35000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,220000.0
Maruti Alto,Maruti,Alto,9.0,65535.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,275000.0
Maruti Alto,Maruti,Alto,10.0,59455.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,175000.0
Maruti Alto,Maruti,Alto,15.0,54171.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,100000.0
Maruti Alto,Maruti,Alto,15.0,56000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,175000.0
Maruti Alto,Maruti,Alto,12.0,86240.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,210000.0
Maruti Alto,Maruti,Alto,15.0,75000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,105000.0
Maruti Alto,Maruti,Alto,14.0,69000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,178000.0
Maruti Alto,Maruti,Alto,16.0,91000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,125000.0
Maruti Alto,Maruti,Alto,11.0,70000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,245000.0
Maruti Alto,Maruti,Alto,11.0,40000.0,Dealer,Petrol,Manual,19.7,796.0,46.3,5.0,265000.0
Maruti Alto,Maruti,Alto,9.0,120000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,120000.0
Maruti Alto,Maruti,Alto,16.0,70000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,85000.0
Maruti Alto,Maruti,Alto,12.0,43000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,140000.0
Maruti Alto,Maruti,Alto,16.0,5000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,95000.0
Maruti Alto,Maruti,Alto,16.0,56700.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,75000.0
Maruti Alto,Maruti,Alto,10.0,40000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,170000.0
Maruti Alto,Maruti,Alto,16.0,120000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,95000.0
Maruti Alto,Maruti,Alto,16.0,40000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,121000.0
Maruti Alto,Maruti,Alto,17.0,80000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,80000.0
Maruti Alto,Maruti,Alto,18.0,120000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,65000.0
Maruti Alto,Maruti,Alto,18.0,90000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,80000.0
Maruti Alto,Maruti,Alto,16.0,120000.0,Individual,Petrol,Manual,19.7,796.0,46.3,5.0,90000.0
